Ticks,GreenPatches,K,TotalBM,k.i,Payoffs,beta.i,highMinCut,lowMinCut
1358,1203,10.13,13144,15.19,3.735,0.586652453297788,68,23
1359,1209,10.13,13257.5,15.04,4.245,0.586707163908569,68,23
1360,1198,10.13,13215,15.08,4.425,0.583872047494005,69,24
1361,1196,10.13,13029,15.21,5.235,0.585534092801504,69,24
1362,1190,10.13,12988.5,15.24,4.685,0.582698976386939,69,25
1363,1228,10.13,13288,15.48,2.325,0.586109584860148,70,24
1364,1266,10.13,13465,15.43,5.57,0.582849294701397,69,25
1365,1252,10.13,13719,15.56,4.79,0.587921948482104,70,24
1366,1185,10.13,13605,15.48,5.435,0.587621702362387,70,24
1367,1172,10.13,13106.5,15.52,6.895,0.587921948482105,72,24
1368,1156,10.13,12592,15.34,6.625,0.587921948482104,71,24
1369,1150,10.13,12214.5,15.17,5.93,0.587921948482105,70,24
1370,1150,10.13,12004.5,15.09,5.935,0.587621702362387,69,24
1371,1133,10.13,11845,15.18,6.23,0.590456818776951,69,23
1372,1157,10.13,12029.5,15.16,2.61,0.590211283268014,69,23
1373,1193,10.13,12329.5,15.16,3.025,0.590156572657233,68,23
1374,1202,10.13,12464,15.28,5.04,0.590456818776951,69,23
1375,1175,10.13,12605.5,15.07,3.92,0.590456818776951,68,24
1376,1144,10.13,12352.5,15.1,6.96,0.590757064896669,68,25
1377,1134,10.13,12382,14.93,3.075,0.587921948482104,67,25
1378,1111,10.13,12029,14.91,4.65,0.584566050619676,68,26
1379,1122,10.13,12106,14.82,0.76,0.584265804499958,68,26
1380,1113,10.13,11841.5,15.03,4.21,0.584265804499958,70,26
1381,1122,10.13,11805,15.13,1.525,0.583840630755772,70,25
1382,1127,10.13,11846,15.09,2.085,0.583840630755771,70,26
1383,1134,10.13,12043.5,15.15,0.855,0.583840630755771,69,25
1384,1140,10.13,12014.5,15.06,3.875,0.583840630755771,68,25
1385,1156,10.13,12087.5,15.2,2.785,0.583840630755771,70,25
1386,1134,10.13,11887,15.32,5.865,0.586375501050618,71,25
1387,1170,10.13,12294,15.14,0.855,0.586375501050618,70,26
1388,1192,10.13,12586.5,14.99,2.155,0.583540384636053,70,27
1389,1152,10.13,12403,14.78,5.395,0.583840630755771,69,28
1390,1169,10.13,12593,14.84,2.255,0.583840630755771,68,25
1391,1182,10.13,12645.5,14.85,4.435,0.587100920914523,68,25
1392,1177,10.13,12429.5,14.92,6.79,0.584566050619676,67,26
1393,1170,10.13,12718.5,15.08,1.785,0.587100920914523,67,25
1394,1198,10.13,12767.5,15.28,5.11,0.587401167034241,69,25
1395,1203,10.13,12721.5,15.22,6.37,0.587701413153959,69,25
1396,1188,10.13,12992.5,15.14,2.015,0.588001659273677,69,26
1397,1197,10.13,12972.5,15.08,4.94,0.588001659273677,70,26
1398,1197,10.13,12871.5,14.91,5.92,0.588001659273677,69,27
1399,1165,10.13,12533,14.73,6.785,0.588301905393395,68,27
1400,1190,10.13,12692,14.67,2.35,0.588301905393395,68,28
1401,1167,10.13,12491,14.58,7.055,0.588001659273677,67,27
1402,1144,10.13,12163.5,14.51,6.62,0.588001659273677,66,26
1403,1147,10.13,12110,14.67,4.015,0.590836775688242,66,25
1404,1148,10.13,12032,15.01,5.215,0.59590942946895,67,22
1405,1181,10.13,12196.5,15.05,3.88,0.59590942946895,67,23
1406,1173,10.13,12408,15.11,3.47,0.600681837129939,67,22
1407,1196,10.13,12728.5,15.41,2.755,0.600106345071294,70,22
1408,1195,10.13,12769.5,15.3,4.735,0.599681171327108,69,22
1409,1209,10.13,13179,15.44,0.92,0.596270562853898,68,22
1410,1205,10.13,13251.5,15.43,3.445,0.59291466499147,70,23
1411,1188,10.13,13022,15.24,6.245,0.59291466499147,69,24
1412,1189,10.13,12943.5,15.16,4.565,0.59291466499147,68,25
1413,1188,10.13,12759,15.21,5.545,0.592614418871752,69,24
1414,1193,10.13,12809.5,15.11,4.365,0.592614418871752,68,24
1415,1195,10.13,12846.5,15,4.485,0.592614418871752,67,24
1416,1191,10.13,12847.5,15.05,4.43,0.595724781225243,67,24
1417,1191,10.13,12888.5,15.05,4.09,0.595724781225243,66,23
1418,1207,10.13,12979.5,15.4,4.465,0.600497188886233,68,22
1419,1189,10.13,12992.5,15.47,3.915,0.600196942766515,68,21
1420,1181,10.13,12696.5,15.36,7.45,0.595424535105525,68,22
1421,1184,10.13,12504,15.69,6.45,0.598259651520089,69,21
1422,1214,10.13,12731.5,15.69,3.61,0.601279372243403,71,21
1423,1228,10.13,13088.5,15.64,3.31,0.601279372243403,70,22
