sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
481,406,6868,82,4006,138,13008,0,34,550,5844,0,5519,167,1851,213,1680,254,6029,0
416,422,7055,89,4058,148,13503,0,29,567,6069,0,5599,175,1812,223,1607,266,6268,0
382,434,7227,97,4110,154,14046,0,18,592,6305,0,5645,184,1745,231,1535,279,6523,0
315,453,7387,101,4149,163,14572,0,15,587,6537,0,5700,193,1675,248,1439,288,6778,0
271,471,7609,110,4190,174,15177,0,11,595,6777,0,5757,201,1612,256,1369,310,7044,0
227,497,7800,116,4210,181,15777,0,9,592,7054,0,5777,206,1532,272,1280,321,7338,0
191,517,8001,122,4212,188,16409,0,8,596,7321,0,5823,218,1464,290,1201,343,7652,0
150,551,8194,128,4209,200,17047,0,5,588,7614,0,5849,228,1362,308,1103,360,7955,0
127,575,8397,135,4193,210,17757,0,4,572,7904,0,5852,237,1256,319,1009,379,8303,0
106,601,8628,142,4156,224,18463,0,3,576,8238,0,5876,251,1157,328,918,396,8628,0
84,626,8859,150,4125,232,19188,0,1,560,8550,0,5887,259,1067,348,807,408,8961,0
67,656,9048,155,4084,241,19977,0,1,563,8909,0,5887,273,992,366,714,426,9315,0
50,683,9234,161,4037,248,20767,0,0,550,9244,0,5852,284,887,380,636,456,9699,0
35,708,9434,172,3964,261,21564,0,0,533,9617,0,5841,294,800,399,545,479,10091,0
23,743,9639,181,3917,275,22429,0,0,511,10000,0,5783,307,715,421,458,506,10474,0
17,775,9828,190,3833,294,23267,0,0,503,10386,0,5710,319,642,444,382,531,10892,0
12,799,10054,201,3741,313,24222,0,0,463,10814,0,5621,332,554,467,310,555,11315,0
7,825,10237,206,3633,329,25208,0,0,447,11205,0,5523,344,470,493,250,586,11736,0
3,866,10447,215,3516,345,26203,0,0,424,11640,0,5418,359,402,511,203,617,12189,0
2,890,10648,228,3369,361,27264,0,0,415,12132,0,5286,375,340,539,156,645,12697,0
2,890,10867,240,3203,379,28342,0,0,409,12614,0,5141,399,284,561,124,671,13218,0
2,907,11077,253,3041,403,29535,0,0,388,13109,0,4982,429,230,591,93,697,13734,0
2,934,11281,271,2846,420,30719,0,0,352,13669,0,4811,451,176,619,74,725,14294,0
0,965,11415,286,2652,432,32049,0,0,316,14201,0,4573,470,147,645,58,760,14862,0
0,990,11589,305,2438,451,33328,0,0,297,14786,0,4351,484,112,676,45,787,15477,0
0,1012,11760,329,2223,472,34692,0,0,288,15363,0,4096,510,81,705,34,820,16137,0
0,1016,11898,337,2029,492,36113,0,0,272,16019,0,3833,528,60,746,29,856,16796,0
0,998,12049,351,1821,521,37558,0,0,254,16662,0,3548,554,38,783,17,881,17467,0
0,1004,12217,368,1599,550,39099,0,0,238,17327,0,3244,585,29,808,10,921,18108,0
0,1016,12320,382,1375,580,40632,0,0,226,18005,0,2936,615,23,838,3,950,18794,0
0,1007,12438,409,1173,609,42351,0,0,208,18745,0,2600,643,15,873,4,974,19535,0
0,973,12499,427,968,640,44066,0,0,195,19528,0,2255,677,10,900,2,995,20306,0
0,942,12567,450,782,670,45848,0,0,176,20337,0,1917,708,8,937,0,1022,21122,0
0,929,12586,482,643,694,47671,0,0,173,21212,0,1591,740,5,949,0,1055,21965,0
0,930,12635,511,521,728,49514,0,0,161,22044,0,1288,765,3,976,0,1056,22829,0
0,900,12663,537,402,774,51545,0,0,142,22952,0,1012,804,3,1006,0,1076,23778,0
0,880,12637,567,300,814,53657,0,0,139,23926,0,761,838,3,1044,0,1089,24716,0
0,873,12542,590,225,848,55817,0,0,130,24891,0,549,877,1,1079,0,1109,25736,0
0,859,12477,625,157,895,58066,0,0,123,25855,0,398,920,0,1099,0,1133,26806,0
0,840,12362,657,113,947,60381,0,0,125,26883,0,278,967,0,1108,0,1149,27939,0
0,831,12210,696,73,978,62825,0,0,126,27957,0,188,1016,0,1122,0,1154,29051,0
0,779,12003,735,49,1033,65318,0,0,114,29081,0,117,1061,0,1135,0,1148,30136,0
0,779,12003,735,49,1033,65318,0,0,114,29081,0,117,1061,0,1135,0,1148,30136,0
0,740,11741,766,38,1088,67982,0,0,109,30297,0,78,1127,0,1133,0,1138,31362,0
0,730,11467,800,20,1134,70661,0,0,94,31477,0,44,1174,0,1130,0,1131,32619,0
0,707,11152,854,15,1185,73423,0,0,80,32766,0,23,1221,0,1120,0,1109,33924,0
0,705,10763,900,5,1252,76393,0,0,67,34062,0,16,1282,0,1130,0,1117,35290,0
0,678,10285,943,3,1299,79349,0,0,61,35388,0,10,1350,0,1121,0,1111,36683,0
0,671,9765,981,3,1350,82454,0,0,63,36765,0,5,1421,0,1128,0,1087,38144,0
0,652,9193,1021,1,1411,85892,0,0,63,38248,0,3,1490,0,1137,0,1076,39686,0
0,605,8571,1077,0,1468,89402,0,0,63,39818,0,2,1557,0,1144,0,1069,41308,0
0,587,7925,1134,0,1526,92901,0,0,56,41421,0,0,1628,0,1104,0,1043,42962,0
0,554,7167,1187,0,1579,96624,0,0,57,42981,0,0,1693,0,1093,0,1003,44673,0
0,525,6351,1248,0,1625,100467,0,0,48,44770,0,0,1772,0,1057,0,987,,
0,518,5453,1324,0,1677,104443,0,0,43,46646,0,0,1832,0,1047,0,955,,
0,487,4500,1387,0,1734,108717,0,0,38,48555,0,0,1917,0,1035,0,922,x max,current pen
0,474,3603,1440,0,1775,112938,0,0,37,50489,0,0,1963,0,1027,0,912,100,"""wolfStock"""
0,448,2728,1509,0,1819,117454,0,0,40,52557,0,0,2017,0,1010,0,894,,
0,428,1903,1588,0,1832,122097,0,0,37,54697,0,0,2071,0,956,0,862,pen down?,x
0,407,1235,1673,0,1871,127072,0,0,37,56908,0,0,2112,0,956,0,829,TRUE,0
0,398,711,1751,0,1869,132022,0,0,37,59183,0,0,2171,0,924,0,825,TRUE,0
0,397,381,1842,0,1899,,,0,38,61536,0,0,2236,0,924,0,788,,
0,381,166,1929,0,1934,,,0,30,64058,0,0,2309,0,879,0,763,,
0,363,70,2024,0,1966,x max,current pen,0,29,66577,0,0,2388,0,841,0,736,y,y
0,336,33,2114,0,2004,100,"""wolfStock""",0,23,69254,0,0,2429,0,813,0,719,,
0,316,14,2216,0,2048,,,0,21,72025,0,0,2488,0,803,0,706,,
0,298,5,2331,0,2065,pen down?,x,0,22,74958,0,0,2556,0,774,0,674,,
0,293,2,2444,0,2059,TRUE,0,0,21,,,0,2628,0,758,0,649,,
0,277,0,2553,0,2089,TRUE,0,0,13,,,0,2691,0,730,0,628,,
0,282,0,2681,0,2117,,,0,10,x max,current pen,0,2717,0,704,0,609,,
0,273,0,2809,0,2071,,,0,11,100,"""wolfStock""",0,2744,0,679,0,601,,
0,262,0,2944,0,2042,y,y,0,8,,,0,2701,0,641,0,567,,
0,257,0,3081,0,1991,,,0,9,pen down?,x,0,2738,0,611,0,540,,
0,248,0,3224,0,1970,,,0,7,TRUE,0,0,2742,0,575,0,529,,
0,229,0,3390,0,1936,,,0,5,TRUE,0,0,2768,0,530,0,517,,
0,234,0,3558,0,1909,,,0,5,,,0,2761,0,488,0,499,,
0,220,0,3711,0,1894,,,0,4,,,0,2755,0,459,0,459,,
0,204,0,3858,0,1877,,,0,4,y,y,0,2721,0,452,0,430,,
0,182,0,4014,0,1861,,,0,5,,,0,2717,0,429,0,410,,
0,162,0,4165,0,1819,,,0,3,,,0,2671,0,398,0,390,,
0,150,0,4326,0,1793,,,0,3,,,0,2622,0,380,0,370,,
0,139,0,4470,0,1766,,,0,3,,,0,2623,0,371,0,357,,
0,132,0,4610,0,1738,,,0,2,,,0,2586,0,362,0,330,,
0,122,0,4746,0,1673,,,0,2,,,0,2588,0,331,0,315,,
0,112,0,4870,0,1637,,,0,2,,,0,2555,0,307,0,287,,
0,107,0,5007,0,1576,,,0,3,,,0,2497,0,288,0,275,,
0,98,0,5127,0,1551,,,0,1,,,0,2485,0,278,0,237,,
0,94,0,5241,0,1498,,,0,0,,,0,2450,0,272,0,230,,
0,93,0,5303,0,1440,,,0,0,,,0,2430,0,249,0,216,,
0,80,0,5403,0,1382,,,0,0,,,0,2380,0,243,0,207,,
